epoch,accuracy,loss,val_accuracy,val_loss
0,0.9252669215202332,0.2035679668188095,1.0,0.0
1,1.0,3.648396074140692e-08,1.0,0.0
2,1.0,0.0,1.0,0.0
3,1.0,0.0,1.0,0.0
4,1.0,0.0,1.0,0.0
5,1.0,0.0,1.0,0.0
6,1.0,4.2423228818755376e-10,1.0,0.0
7,1.0,0.0,1.0,0.0
8,1.0,0.0,1.0,0.0
9,1.0,0.0,1.0,0.0
10,1.0,0.0,1.0,0.0
11,1.0,1.4763254796434921e-07,1.0,0.0
12,1.0,9.417940560751958e-08,1.0,0.0
13,1.0,1.3957156852484331e-07,1.0,0.0
14,1.0,1.2642082936054067e-07,1.0,0.0
15,1.0,4.8362419846625926e-08,1.0,0.0
16,1.0,3.605973120102135e-08,1.0,0.0
