epoch,accuracy,loss,val_accuracy,val_loss
0,0.8469750881195068,0.3863223195075989,1.0,0.00013328957720659673
1,1.0,7.667610771022737e-05,1.0,5.960462203802308e-07
2,1.0,1.163239289780904e-06,1.0,0.0
3,1.0,1.7351071335269808e-07,1.0,0.0
4,1.0,2.0150895352344378e-07,1.0,0.0
5,1.0,3.139318494049803e-08,1.0,0.0
6,1.0,1.0987584175836673e-07,1.0,0.0
7,1.0,5.2604768541186786e-08,1.0,0.0
8,1.0,4.539284503835006e-08,1.0,0.0
9,1.0,2.2908544394795172e-08,1.0,0.0
10,1.0,7.508894128704924e-08,1.0,0.0
11,1.0,0.0001896917528938502,1.0,2.6485746275284328e-05
12,1.0,6.010735887684859e-05,1.0,6.7109090196026955e-06
13,1.0,2.0534635041258298e-05,1.0,2.622600959512056e-06
14,1.0,1.1479827662697062e-05,1.0,1.4012384781381115e-06
15,1.0,6.6534007601148915e-06,1.0,9.53673918502318e-07
16,1.0,3.674236495498917e-06,1.0,7.152556236178498e-07
