epoch,accuracy,loss,val_accuracy,val_loss
0,0.9288256168365479,0.15075111389160156,1.0,0.000867607188411057
1,1.0,0.0013697255635634065,1.0,0.00020886131096631289
2,1.0,0.0005027713486924767,1.0,7.345737685682252e-05
3,1.0,0.00026401851209811866,1.0,3.0214643629733473e-05
4,1.0,0.0001328950165770948,1.0,1.5326548236771487e-05
5,1.0,7.836694567231461e-05,1.0,8.44515670905821e-06
6,1.0,3.396660031285137e-05,1.0,5.9320227592252195e-06
7,1.0,3.997594103566371e-05,1.0,3.5970595035905717e-06
8,1.0,2.6833224183064885e-05,1.0,2.384183289905195e-06
9,1.0,1.717451050353702e-05,1.0,1.6689288031557226e-06
10,1.0,1.0800538802868687e-05,1.0,1.4305104514278355e-06
11,1.0,0.0014224217738956213,1.0,0.0003044774057343602
12,1.0,0.0008427887805737555,1.0,0.00016076814790721983
13,1.0,0.0004953178577125072,1.0,0.00010131299495697021
14,1.0,0.00037763596628792584,1.0,6.900239532114938e-05
15,1.0,0.00023694249102845788,1.0,5.208206857787445e-05
16,1.0,0.00020398818014655262,1.0,3.9764632674632594e-05
